"","x","y","c.1","c.2","c.3"
"52616",116,395,0.141176470588235,0.219607843137255,0.568627450980392
"15113",113,470,0.141176470588235,0.219607843137255,0.568627450980392
"144046",46,212,0.141176470588235,0.219607843137255,0.568627450980392
"130292",292,240,0.139384825916543,0.220167455747007,0.610646508982541
"153626",126,193,0.331523053166255,0.347209327676059,0.352267584010511
"57815",315,385,0.141176470588235,0.219607843137255,0.568627450980392
"8720",220,483,0.349172090256394,0.317070641713086,0.234785707434556
"151171",171,198,0.141176470588235,0.219607843137255,0.568627450980392
"64772",272,371,0.121638055393722,0.219894904521765,0.588787191745993
"175959",459,149,0.141176470588235,0.219607843137255,0.568627450980392
"115487",487,270,0.141176470588235,0.219607843137255,0.568627450980392
"24310",310,452,0.141176470588235,0.219607843137255,0.568627450980392
"191688",188,117,0.313688610207937,0.48220638408941,0.406706206678426
"234611",111,31,0.141176470588235,0.219607843137255,0.568627450980392
"183333",333,134,0.141176470588235,0.219607843137255,0.568627450980392
"219070",70,62,0.141176470588235,0.219607843137255,0.568627450980392
"228529",29,43,0.141176470588235,0.219607843137255,0.568627450980392
"231540",40,37,0.141176470588235,0.219607843137255,0.568627450980392
"196978",478,107,0.141176470588235,0.219607843137255,0.568627450980392
"142296",296,216,0.597764844662449,0.702861151409214,0.595276378185012
"99486",486,302,0.141176470588235,0.219607843137255,0.568627450980392
"138176",176,224,0.141176470588235,0.219607843137255,0.568627450980392
"65124",124,370,0.141176470588235,0.219607843137255,0.568627450980392
"16394",394,468,0.141176470588235,0.219607843137255,0.568627450980392
"224744",244,51,0.158161747125836,0.223783902802396,0.544928438810642
"127545",45,245,0.141176470588235,0.219607843137255,0.568627450980392
"206124",124,88,0.668838825796366,0.635159724703488,0.593319692508987
"203793",293,93,0.236492199656863,0.428739824963969,0.245646699445606
"24814",314,451,0.141176470588235,0.219607843137255,0.568627450980392
"45853",353,409,0.141176470588235,0.219607843137255,0.568627450980392
"68499",499,364,0.140598055402678,0.218133747720332,0.574890737803102
"150210",210,200,0.00227525636057284,0.00423943309579407,0.774038035133929
"101052",52,298,0.141176470588235,0.219607843137255,0.568627450980392
"197625",125,105,0.658456596697091,0.633601549941315,0.580448047846596
"214419",419,72,0.141176470588235,0.219607843137255,0.568627450980392
"11042",42,478,0.141176470588235,0.219607843137255,0.568627450980392
"13694",194,473,0.319077842517421,0.323322751372512,0.214921023798875
"238220",220,24,0.141176470588235,0.219607843137255,0.568627450980392
"196844",344,107,0.141176470588235,0.219607843137255,0.568627450980392
"37755",255,425,0.141176470588235,0.219607843137255,0.568627450980392
"152093",93,196,0.691305595761793,0.677164722113268,0.689326905422346
"95288",288,310,0.141176470588235,0.219607843137255,0.568627450980392
"126754",254,247,0.254022814624508,0.446179677369606,0.26186595187941
"226711",211,47,0.141176470588235,0.219607843137255,0.568627450980392
"175760",260,149,0.204173617190563,0.405970937429063,0.27491332552551
"183647",147,133,0.666243451965512,0.634870902945904,0.583890510789042
"77732",232,345,1,0.8,0.00392156862745098
"140188",188,220,0.141176470588235,0.219607843137255,0.568627450980392
